__timestamp,location_name,latitude,longitude,PM2.5
03-02-2021,"Central School, Lucknow - CPCB",26.8821003,80.9302753,148.103125
28-09-2020,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,148.0813187
12-02-2018,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,147.9489583
28-12-2021,"Central School, Lucknow - CPCB",26.8821003,80.9302753,147.9153846
02-11-2021,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,147.8908911
19-05-2018,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,147.8366667
01-02-2018,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,147.6881053
14-11-2018,"Central School, Lucknow - CPCB",26.8821003,80.9302753,147.6296842
08-11-2021,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,147.5728155
24-12-2018,"Nishant Ganj, Lucknow - UPPCB",26.871428,80.957145,147.5060241
23-03-2018,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,147.4394681
07-01-2020,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,147.3488372
28-10-2018,"Central School, Lucknow - CPCB",26.8821003,80.9302753,147.3340625
19-12-2019,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,147.3239583
08-11-2018,"Central School, Lucknow - CPCB",26.8821003,80.9302753,147.2921569
18-12-2020,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,147.2635417
12-11-2020,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,147.2449485
28-10-2018,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,147.2128125
14-01-2019,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,147.19375
28-01-2018,"Central School, Lucknow - CPCB",26.8821003,80.9302753,147.155625
06-01-2019,"Central School, Lucknow - CPCB",26.8821003,80.9302753,147.1195833
18-11-2018,"Central School, Lucknow - CPCB",26.8821003,80.9302753,147.0637234
13-03-2018,"Central School, Lucknow - CPCB",26.8821003,80.9302753,147
28-11-2021,"B R Ambedkar University, Lucknow - UPPCB",26.766433,80.927299,146.9903738
13-12-2019,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,146.7586957
13-12-2018,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,146.6101124
13-12-2021,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,146.4519231
28-10-2019,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,146.2821053
29-10-2018,"Central School, Lucknow - CPCB",26.8821003,80.9302753,146.1925
30-11-2018,"Central School, Lucknow - CPCB",26.8821003,80.9302753,146.1074737
03-12-2018,"Nishant Ganj, Lucknow - UPPCB",26.871428,80.957145,146.0989011
06-11-2021,"Kukrail Picnic Spot-1, Lucknow - UPPCB",26.90723,80.98579,146.0952
26-01-2021,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,146.0554348
11-02-2018,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,146.0478723
19-02-2021,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,145.984375
28-02-2018,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,145.8692045
20-01-2021,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,145.851087
15-10-2018,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,145.8261111
30-03-2019,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,145.7439583
